File Analyzed: API Handler | Healthy - server/channels/api4/access_control.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/read_receipt_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/recap_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/remote_cluster_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/retention_policy_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/role_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/scheduled_post_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/schema_dump.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/scheme_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/session_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/shared_channel_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/shared_channel_store_membership.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/sqlx_wrapper.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/status_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/system_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/team_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/temporary_post_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/terms_of_service_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/testpool.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/thread_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/tokens_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/upload_session_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/user_access_token_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/user_store.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/user_terms_of_service.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/utils.go
File Analyzed: Data Access Layer (Store) | Healthy - server/channels/store/sqlstore/webhook_store.go
